date,team,team_code,opponent,size,lineup,minutes,plus_minus,pm_per36
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #21 PEDRO MENDOZA / #6 SANTIAGO SCALA,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #21 PEDRO MENDOZA / #6 SANTIAGO SCALA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #66 GLENN COSEY,11.93,3,9.05
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #21 PEDRO MENDOZA / #6 SANTIAGO SCALA,3.33,-2,-21.62
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #21 PEDRO MENDOZA / #6 SANTIAGO SCALA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #6 SANTIAGO SCALA / #66 GLENN COSEY,4.08,-5,-44.12
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #21 PEDRO MENDOZA / #6 SANTIAGO SCALA,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #10 BRUNO PEDRO / #21 PEDRO MENDOZA / #6 SANTIAGO SCALA / #66 GLENN COSEY,2.2,-2,-32.73
2026-07-23,Diablos Rojos,DRM,AGS,3,#6 SANTIAGO SCALA / #66 GLENN COSEY / #7 JOSE CRUZ,4.22,-4,-34.12
2026-07-23,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #7 JOSE CRUZ,4.77,-6,-45.28
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #66 GLENN COSEY / #7 JOSE CRUZ,2.7,-6,-80.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #7 JOSE CRUZ,3.95,-3,-27.34
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #66 GLENN COSEY / #7 JOSE CRUZ,1.88,-3,-57.45
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #7 JOSE CRUZ,3.88,-6,-55.67
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #6 SANTIAGO SCALA / #66 GLENN COSEY / #7 JOSE CRUZ,2.27,-3,-47.58
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #10 BRUNO PEDRO / #7 JOSE CRUZ,1.88,-3,-57.45
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #66 GLENN COSEY / #7 JOSE CRUZ,1.88,-3,-57.45
